Date,Occupancy rate,G&A beds occ'd,G&A Beds Open,Critical care beds occupancy rate,No. beds occupied by flu patients (Critical Care),No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),day_of_year
2020-11-02T00:00:00Z,0.863878386541086,77229,89398,0.7027540360873694,NA,NA,NA,2021-11-02
2020-11-03T00:00:00Z,0.8839233764489997,78998,89372,0.7361547762998791,NA,NA,NA,2021-11-03
2020-11-04T00:00:00Z,0.8839050427800891,78824,89177,0.7507863537382047,NA,NA,NA,2021-11-04
2020-11-05T00:00:00Z,0.8776650030841698,78257,89165,0.7484899734235323,NA,NA,NA,2021-11-05
2020-11-06T00:00:00Z,0.873380712486506,77668,88928,0.7468988549618321,NA,NA,NA,2021-11-06
2020-11-07T00:00:00Z,0.8574498891452875,75802,88404,0.7412687099073414,NA,NA,NA,2021-11-07
2020-11-08T00:00:00Z,0.8572367600893049,75640,88237,0.7321768060836502,NA,NA,NA,2021-11-08
2020-11-09T00:00:00Z,0.8727723050942865,77524,88825,0.7329654510556622,NA,NA,NA,2021-11-09
2020-11-10T00:00:00Z,0.890686444760635,79500,89257,0.7564408396946565,NA,NA,NA,2021-11-10
2020-11-11T00:00:00Z,0.8894166143919706,79400,89272,0.761116367076632,NA,NA,NA,2021-11-11
2020-11-12T00:00:00Z,0.8913373262464743,79321,88991,0.777299880525687,NA,NA,NA,2021-11-12
2020-11-13T00:00:00Z,0.8851466201384589,78632,88835,0.7790889780505075,NA,NA,NA,2021-11-13
2020-11-14T00:00:00Z,0.865677205109959,76641,88533,0.7631086142322098,NA,NA,NA,2021-11-14
2020-11-15T00:00:00Z,0.8622935987333182,76244,88420,0.7418751461304652,NA,NA,NA,2021-11-15
2020-11-16T00:00:00Z,0.8793115093659942,78111,88832,0.7380841121495327,NA,NA,NA,2021-11-16
2020-11-17T00:00:00Z,0.8928395504007881,79752,89324,0.7602487333026255,NA,NA,NA,2021-11-17
2020-11-18T00:00:00Z,0.89208390854910935,79482,89097,0.7723428571428571,NA,NA,NA,2021-11-18
2020-11-19T00:00:00Z,0.883791705503835,78699,89047,0.7777777777777778,NA,NA,NA,2021-11-19
2020-11-20T00:00:00Z,0.8777912839906357,77990,88848,0.7746090156393745,NA,NA,NA,2021-11-20
2020-11-21T00:00:00Z,0.8539328377570473,75702,88651,0.7683459857372901,NA,NA,NA,2021-11-21
2020-11-22T00:00:00Z,0.8569459664026932,75856,88519,0.7549942594718714,NA,NA,NA,2021-11-22
2020-11-23T00:00:00Z,0.8682699452813619,77118,88818,0.7442660550458715,NA,NA,NA,2021-11-23
2020-11-24T00:00:00Z,0.8802664240545428,78371,89031,0.7578875171467764,NA,NA,NA,2021-11-24
2020-11-25T00:00:00Z,0.8794110379837822,78301,89038,0.76369007043853665,NA,NA,NA,2021-11-25
2020-11-26T00:00:00Z,0.8783712440325752,78197,89025,0.7703415081366033,NA,NA,NA,2021-11-26
2020-11-27T00:00:00Z,0.8714729310112056,77460,88884,0.7708900999091735,NA,NA,NA,2021-11-27
2020-11-28T00:00:00Z,0.8509834775767112,75712,88970,0.7585893060295791,NA,NA,NA,2021-11-28
2020-11-29T00:00:00Z,0.8481075472549285,75200,88668,0.7399225688909132,NA,NA,NA,2021-11-29
2020-11-30T00:00:00Z,0.8694990874062056,77175,88758,0.7252314814814815,NA,34628,11299,2021-11-30
2020-12-01T00:00:00Z,0.8783279786110674,78187,89018,0.744345442083619,NA,35435,11435,2021-12-01
2020-12-02T00:00:00Z,0.8784570106265867,78202,89022,0.7503435639028859,NA,35281,11437,2021-12-02
2020-12-03T00:00:00Z,0.8740406624478255,77898,89124,0.7481001341081805,NA,35150,11425,2021-12-03
2020-12-04T00:00:00Z,0.8765486080746246,78182,89193,0.7389755011135858,NA,34832,11362,2021-12-04
2020-12-05T00:00:00Z,0.8606069487971502,76341,88706,0.7307953772943576,NA,33856,11176,2021-12-05
2020-12-06T00:00:00Z,0.8617400997624168,76532,88811,0.7223466188983431,NA,33915,11218,2021-12-06
2020-12-07T00:00:00Z,0.8808671952983927,78539,89161,0.7353608715388107,NA,35362,11557,2021-12-07
2020-12-08T00:00:00Z,0.8969026203452927,80471,89721,0.7465448060633081,NA,35993,11651,2021-12-08
2020-12-09T00:00:00Z,0.8972199290479485,80425,89638,0.7541787385781146,NA,35749,11513,2021-12-09
2020-12-10T00:00:00Z,0.893585419784245,80017,89546,0.7647586980920315,NA,35727,11469,2021-12-10
2020-12-11T00:00:00Z,0.8942363628227502,79934,89388,0.7590960451977401,NA,35441,11323,2021-12-11
2020-12-12T00:00:00Z,0.8810706556476301,78573,89179,0.7522706630336058,NA,34848,11147,2021-12-12
2020-12-13T00:00:00Z,0.8821107196553194,78619,89126,0.7495404411764706,NA,35189,11218,2021-12-13
2020-12-14T00:00:00Z,0.892295995945261,80983,90758,0.7434375713307464,NA,36791,11633,2021-12-14
2020-12-15T00:00:00Z,0.9036638736777287,82181,90942,0.7841117216117216,NA,37435,11705,2021-12-15
2020-12-16T00:00:00Z,0.8998410000548276,82061,91195,0.7923286427598729,NA,37405,11727,2021-12-16
