Date,Occupancy rate,G&A beds occ'd,G&A Beds Open,Critical care beds occupancy rate,No. beds occupied by flu patients (Critical Care),No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),day_of_year
2021-11-29T00:00:00Z,0.9233660385194414,88934,96315,0.7851941747572816,2,42481,15187,2021-11-29
2021-11-30T00:00:00Z,0.9328229883152399,90051,96536,0.8120464441219158,1,42712,15177,2021-11-30
2021-12-09T00:00:00Z,0.9407508194693549,91266,97014,0.8211793020457281,0,43411,15469,2021-12-09
2021-12-10T00:00:00Z,0.9358353385865804,90616,96829,0.819288613034137,0,42989,15273,2021-12-10
2021-12-11T00:00:00Z,0.9224274186839697,88708,96168,0.8066298342541437,1,41298,14704,2021-12-11
2021-12-12T00:00:00Z,0.9198058171514293,88294,95992,0.7912087912087912,1,41664,14819,2021-12-12
2021-12-01T00:00:00Z,0.9363592598794374,89471,95552,0.8200928868247372,2,42364,15144,2021-12-01
2021-12-02T00:00:00Z,0.9336612135017602,90173,96580,0.8188615533043898,3,42388,15244,2021-12-02
2021-12-03T00:00:00Z,0.9305453529636949,89940,96653,0.8115208483972042,5,42042,15150,2021-12-03
2021-12-04T00:00:00Z,0.9172318657316934,87769,95689,0.8041412911084044,2,41137,15001,2021-12-04
2021-12-05T00:00:00Z,0.9204552547803833,88476,96122,0.786218651083516,3,41357,15053,2021-12-05
2021-12-06T00:00:00Z,0.9299106958283375,89967,96748,0.7788390889052168,2,43110,15514,2021-12-06
2021-12-07T00:00:00Z,0.9392530589945263,91116,97009,0.8034474503231984,1,43863,15676,2021-12-07
2021-12-08T00:00:00Z,0.9402722293151023,91323,97124,0.8189221556886227,0,43786,15572,2021-12-08
