year,day_of_year,name,value
2021-22,2021-11-29,Beds occupied,88934
2021-22,2021-11-29,Beds free,7381
2021-22,2021-11-29,CC beds occupied,3235
2021-22,2021-11-29,CC beds free,885
2021-22,2021-11-30,Beds occupied,90051
2021-22,2021-11-30,Beds free,6485
2021-22,2021-11-30,CC beds occupied,3357
2021-22,2021-11-30,CC beds free,777
2021-22,2021-12-09,Beds occupied,91266
2021-22,2021-12-09,Beds free,5748
2021-22,2021-12-09,CC beds occupied,3412
2021-22,2021-12-09,CC beds free,743
2021-22,2021-12-10,Beds occupied,90616
2021-22,2021-12-10,Beds free,6213
2021-22,2021-12-10,CC beds occupied,3432
2021-22,2021-12-10,CC beds free,757
2021-22,2021-12-11,Beds occupied,88708
2021-22,2021-12-11,Beds free,7460
2021-22,2021-12-11,CC beds occupied,3358
2021-22,2021-12-11,CC beds free,805
2021-22,2021-12-12,Beds occupied,88294
2021-22,2021-12-12,Beds free,7698
2021-22,2021-12-12,CC beds occupied,3240
2021-22,2021-12-12,CC beds free,855
2021-22,2021-12-13,Beds occupied,89996
2021-22,2021-12-13,Beds free,6848
2021-22,2021-12-13,CC beds occupied,3259
2021-22,2021-12-13,CC beds free,865
2021-22,2021-12-14,Beds occupied,91089
2021-22,2021-12-14,Beds free,5955
2021-22,2021-12-14,CC beds occupied,3416
2021-22,2021-12-14,CC beds free,755
2021-22,2021-12-15,Beds occupied,90631
2021-22,2021-12-15,Beds free,6416
2021-22,2021-12-15,CC beds occupied,3364
2021-22,2021-12-15,CC beds free,787
2021-22,2021-12-16,Beds occupied,89893
2021-22,2021-12-16,Beds free,6877
2021-22,2021-12-16,CC beds occupied,3363
2021-22,2021-12-16,CC beds free,783
2021-22,2021-12-17,Beds occupied,89156
2021-22,2021-12-17,Beds free,7523
2021-22,2021-12-17,CC beds occupied,3348
2021-22,2021-12-17,CC beds free,812
2021-22,2021-12-18,Beds occupied,85995
2021-22,2021-12-18,Beds free,9659
2021-22,2021-12-18,CC beds occupied,3267
2021-22,2021-12-18,CC beds free,864
2021-22,2021-12-01,Beds occupied,89471
2021-22,2021-12-01,Beds free,6081
2021-22,2021-12-01,CC beds occupied,3355
2021-22,2021-12-01,CC beds free,736
2021-22,2021-12-19,Beds occupied,85886
2021-22,2021-12-19,Beds free,9918
2021-22,2021-12-19,CC beds occupied,3151
2021-22,2021-12-19,CC beds free,984
2021-22,2021-12-20,Beds occupied,87354
2021-22,2021-12-20,Beds free,8726
2021-22,2021-12-20,CC beds occupied,3044
2021-22,2021-12-20,CC beds free,1019
2021-22,2021-12-21,Beds occupied,87296
2021-22,2021-12-21,Beds free,8700
2021-22,2021-12-21,CC beds occupied,3132
2021-22,2021-12-21,CC beds free,947
2021-22,2021-12-22,Beds occupied,86211
2021-22,2021-12-22,Beds free,9664
2021-22,2021-12-22,CC beds occupied,3185
2021-22,2021-12-22,CC beds free,944
2021-22,2021-12-23,Beds occupied,83961
2021-22,2021-12-23,Beds free,11380
2021-22,2021-12-23,CC beds occupied,3127
2021-22,2021-12-23,CC beds free,984
2021-22,2021-12-24,Beds occupied,80507
2021-22,2021-12-24,Beds free,14162
2021-22,2021-12-24,CC beds occupied,3092
2021-22,2021-12-24,CC beds free,976
2021-22,2021-12-25,Beds occupied,72745
2021-22,2021-12-25,Beds free,20344
2021-22,2021-12-25,CC beds occupied,2960
2021-22,2021-12-25,CC beds free,1111
2021-22,2021-12-26,Beds occupied,73367
2021-22,2021-12-26,Beds free,19862
2021-22,2021-12-26,CC beds occupied,2866
2021-22,2021-12-26,CC beds free,1168
2021-22,2021-12-27,Beds occupied,77362
2021-22,2021-12-27,Beds free,16224
2021-22,2021-12-27,CC beds occupied,2853
2021-22,2021-12-27,CC beds free,1191
2021-22,2021-12-28,Beds occupied,80978
2021-22,2021-12-28,Beds free,13060
2021-22,2021-12-28,CC beds occupied,2978
2021-22,2021-12-28,CC beds free,1116
2021-22,2021-12-02,Beds occupied,90173
2021-22,2021-12-02,Beds free,6407
2021-22,2021-12-02,CC beds occupied,3395
2021-22,2021-12-02,CC beds free,751
2021-22,2021-12-29,Beds occupied,84050
2021-22,2021-12-29,Beds free,10753
2021-22,2021-12-29,CC beds occupied,2991
2021-22,2021-12-29,CC beds free,1099
2021-22,2021-12-30,Beds occupied,86000
2021-22,2021-12-30,Beds free,9082
2021-22,2021-12-30,CC beds occupied,3101
2021-22,2021-12-30,CC beds free,992
2021-22,2021-12-31,Beds occupied,86152
2021-22,2021-12-31,Beds free,8933
2021-22,2021-12-31,CC beds occupied,3169
2021-22,2021-12-31,CC beds free,932
2021-22,2022-01-01,Beds occupied,83495
2021-22,2022-01-01,Beds free,10837
2021-22,2022-01-01,CC beds occupied,3113
2021-22,2022-01-01,CC beds free,967
2021-22,2022-01-02,Beds occupied,84281
2021-22,2022-01-02,Beds free,10143
2021-22,2022-01-02,CC beds occupied,3055
2021-22,2022-01-02,CC beds free,1037
2021-22,2021-12-03,Beds occupied,89940
2021-22,2021-12-03,Beds free,6713
2021-22,2021-12-03,CC beds occupied,3367
2021-22,2021-12-03,CC beds free,782
2021-22,2021-12-04,Beds occupied,87769
2021-22,2021-12-04,Beds free,7920
2021-22,2021-12-04,CC beds occupied,3301
2021-22,2021-12-04,CC beds free,804
2021-22,2021-12-05,Beds occupied,88476
2021-22,2021-12-05,Beds free,7646
2021-22,2021-12-05,CC beds occupied,3229
2021-22,2021-12-05,CC beds free,878
2021-22,2021-12-06,Beds occupied,89967
2021-22,2021-12-06,Beds free,6781
2021-22,2021-12-06,CC beds occupied,3180
2021-22,2021-12-06,CC beds free,903
2021-22,2021-12-07,Beds occupied,91116
2021-22,2021-12-07,Beds free,5893
2021-22,2021-12-07,CC beds occupied,3356
2021-22,2021-12-07,CC beds free,821
2021-22,2021-12-08,Beds occupied,91323
2021-22,2021-12-08,Beds free,5801
2021-22,2021-12-08,CC beds occupied,3419
2021-22,2021-12-08,CC beds free,756
2020-21,2021-11-02,Beds occupied,77229
2020-21,2021-11-02,Beds free,12169
2020-21,2021-11-02,CC beds occupied,2960
2020-21,2021-11-02,CC beds free,1252
2020-21,2021-11-03,Beds occupied,78998
2020-21,2021-11-03,Beds free,10374
2020-21,2021-11-03,CC beds occupied,3044
2020-21,2021-11-03,CC beds free,1091
2020-21,2021-11-04,Beds occupied,78824
2020-21,2021-11-04,Beds free,10353
2020-21,2021-11-04,CC beds occupied,3103
2020-21,2021-11-04,CC beds free,1030
2020-21,2021-11-05,Beds occupied,78257
2020-21,2021-11-05,Beds free,10908
2020-21,2021-11-05,CC beds occupied,3098
2020-21,2021-11-05,CC beds free,1041
2020-21,2021-11-06,Beds occupied,77668
2020-21,2021-11-06,Beds free,11260
2020-21,2021-11-06,CC beds occupied,3131
2020-21,2021-11-06,CC beds free,1061
2020-21,2021-11-07,Beds occupied,75802
2020-21,2021-11-07,Beds free,12602
2020-21,2021-11-07,CC beds occupied,3120
2020-21,2021-11-07,CC beds free,1089
2020-21,2021-11-08,Beds occupied,75640
2020-21,2021-11-08,Beds free,12597
2020-21,2021-11-08,CC beds occupied,3081
2020-21,2021-11-08,CC beds free,1127
2020-21,2021-11-09,Beds occupied,77524
2020-21,2021-11-09,Beds free,11301
2020-21,2021-11-09,CC beds occupied,3055
2020-21,2021-11-09,CC beds free,1113
2020-21,2021-11-10,Beds occupied,79500
2020-21,2021-11-10,Beds free,9757
2020-21,2021-11-10,CC beds occupied,3171
2020-21,2021-11-10,CC beds free,1021
2020-21,2021-11-11,Beds occupied,79400
2020-21,2021-11-11,Beds free,9872
2020-21,2021-11-11,CC beds occupied,3218
2020-21,2021-11-11,CC beds free,1010
2020-21,2021-11-12,Beds occupied,79321
2020-21,2021-11-12,Beds free,9670
2020-21,2021-11-12,CC beds occupied,3253
2020-21,2021-11-12,CC beds free,932
2020-21,2021-11-13,Beds occupied,78632
2020-21,2021-11-13,Beds free,10203
2020-21,2021-11-13,CC beds occupied,3301
2020-21,2021-11-13,CC beds free,936
2020-21,2021-11-14,Beds occupied,76641
2020-21,2021-11-14,Beds free,11892
2020-21,2021-11-14,CC beds occupied,3260
2020-21,2021-11-14,CC beds free,1012
2020-21,2021-11-15,Beds occupied,76244
2020-21,2021-11-15,Beds free,12176
2020-21,2021-11-15,CC beds occupied,3173
2020-21,2021-11-15,CC beds free,1104
2020-21,2021-11-16,Beds occupied,78111
2020-21,2021-11-16,Beds free,10721
2020-21,2021-11-16,CC beds occupied,3159
2020-21,2021-11-16,CC beds free,1121
2020-21,2021-11-17,Beds occupied,79752
2020-21,2021-11-17,Beds free,9572
2020-21,2021-11-17,CC beds occupied,3301
2020-21,2021-11-17,CC beds free,1041
2020-21,2021-11-18,Beds occupied,79482
