day_of_year,Median occupancy rate,Max occupancy rate,Min occupancy rate,Median beds open,Max beds open,Min beds open,Median beds occupied,Max beds occupied,Min beds occupied,Median critical care beds occupancy rate,Max critical care beds occupancy rate,Min critical care beds occupancy rate,Median no. beds occupied by long-stay patients (> 7 days),Max no. beds occupied by long-stay patients (> 7 days),Min no. beds occupied by long-stay patients (> 7 days),Median no. beds occupied by long-stay patients (> 21 days),Max no. beds occupied by long-stay patients (> 21 days),Min no. beds occupied by long-stay patients (> 21 days)
2021-11-20,0,0,0,95593,95593,95593,91001,91001,91001,0.8086860912589334,0.8086860912589334,0.8086860912589334,43655,43655,43655,16939,16939,16939
2021-11-21,0,0,0,94821,94821,94821,90431,90431,90431,0.8334735071488646,0.8334735071488646,0.8334735071488646,43191,43191,43191,16812,16812,16812
2021-11-22,0,0,0,95896,95896,95896,91516,91516,91516,0.8371254162042175,0.8371254162042175,0.8371254162042175,43295,43295,43295,16728,16728,16728
2021-11-23,0,0,0,96322,96322,96322,91376,91376,91376,0.8397609994568169,0.8397609994568169,0.8397609994568169,42079,42079,42079,16458,16458,16458
2021-11-24,0,0,0,94125,94125,94125,87366,87366,87366,0.8100197016605686,0.8100197016605686,0.8100197016605686,40038,40038,40038,15748,15748,15748
2021-11-25,0,0,0,93879,93879,93879,86961,86961,86961,0.7978003384094755,0.7978003384094755,0.7978003384094755,40549,40549,40549,15958,15958,15958
2021-11-26,0,0,0,94584,94584,94584,88926,88926,88926,0.7883597883597884,0.7883597883597884,0.7883597883597884,42759,42759,42759,16570,16570,16570
2021-11-27,0,0,0,96416,96416,96416,91860,91860,91860,0.824817518248175,0.824817518248175,0.824817518248175,44111,44111,44111,16972,16972,16972
2021-11-28,0,0,0,96544,96544,96544,92148,92148,92148,0.842972972972973,0.842972972972973,0.842972972972973,44061,44061,44061,16821,16821,16821
2021-11-29,0,0,0,96384,96384,96384,91523,91523,91523,0.849851471779638,0.849851471779638,0.849851471779638,43748,43748,43748,16761,16761,16761
2021-11-30,0.4660440025167872,0.9320880050335744,0,96623.5,96949,96298,90724.5,91084,90365,0.8485978863111543,0.850161987041037,0.8470337855812716,NA,NA,NA,NA,NA,NA
2021-12-01,0.9393233273976087,0.9466926030821331,0,98275,99217,95568,92312,93928,89079,0.8371848739495799,0.8431646631255242,0.821153846153846,NA,NA,NA,NA,NA,NA
2021-12-02,0.4411738949580752,0.9476058153115058,0,97158,99324,91354,91709,94120,80606,0.8351634385602715,0.8629137346885588,0.805411314566822,NA,NA,NA,NA,NA,NA
