Date,Occupancy rate,G&A beds occ'd,G&A Beds Open,G&A beds unavailable to non-covid admissions “void”,CC Adult Open,CC Adult Occ,Critical care beds occupancy rate,No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),No. beds occupied by flu patients (G&A),No. beds occupied by flu patients (Critical Care),Closures,Diverts,Delays30,Delays60,No. unoccupied beds closed due to norovirus etc.,year,day_of_year
2022-11-14T00:00:00Z,0.9390624370999557,93309,99364,238,4006,3047,0.7606090863704443,47776,19658,294,32,0,0,1948,1645,NA,2022-23,2022-11-14
2022-11-15T00:00:00Z,0.9488904035442937,94667,99766,227,4020,3229,0.8032338308457712,47783,19357,310,29,0,1,1944,1590,NA,2022-23,2022-11-15
2022-11-16T00:00:00Z,0.9497560532137338,94023,98997,254,3987,3228,0.8096313017306245,47583,19249,334,30,0,1,1927,1634,NA,2022-23,2022-11-16
2022-11-17T00:00:00Z,0.9494004893139495,93909,98914,198,3987,3250,0.8151492350137949,47239,19024,349,31,0,3,1913,1463,NA,2022-23,2022-11-17
2022-11-18T00:00:00Z,0.946790531993483,93559,98817,243,4010,3258,0.8124688279301746,46695,18779,364,24,0,4,1897,1305,NA,2022-23,2022-11-18
2022-11-19T00:00:00Z,0.9363131873675714,92798,99110,277,4030,3220,0.7990074441687345,46049,18630,383,35,0,5,1614,1164,NA,2022-23,2022-11-19
2022-11-20T00:00:00Z,0.9310603678268191,91783,98579,261,3995,3092,0.7739674593241552,46298,18760,374,24,0,2,1620,1219,NA,2022-23,2022-11-20
2022-11-21T00:00:00Z,0.9415760316102489,92459,98196,252,3913,2983,0.7623306925632507,47137,18860,437,26,0,1,1798,1699,NA,2022-23,2022-11-21
2022-11-22T00:00:00Z,0.9489636527485732,94773,99870,214,4019,3237,0.8054242348842996,48322,19180,423,32,0,2,1917,1875,NA,2022-23,2022-11-22
2022-11-23T00:00:00Z,0.9516330966236316,95012,99841,180,4008,3257,0.812624750499002,48254,19080,451,38,0,1,1914,1922,NA,2022-23,2022-11-23
2022-11-24T00:00:00Z,0.9515272177923624,95108,99953,197,4025,3258,0.8094409937888198,47969,18935,468,39,0,2,1859,1704,NA,2022-23,2022-11-24
2022-11-25T00:00:00Z,0.9506767308693389,94965,99892,200,4027,3296,0.8184752917804817,47620,18797,528,38,0,1,1942,1554,NA,2022-23,2022-11-25
2022-11-26T00:00:00Z,0.9371682044723246,92327,98517,240,3995,3172,0.7939924906132666,46137,18380,527,46,0,2,1608,1215,NA,2022-23,2022-11-26
