Date,Name,Occupancy rate,G&A beds occ'd,G&A Beds Open,Critical care beds occupancy rate,No. beds occupied by flu patients (Critical Care),No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),day_of_year
2021-11-29T00:00:00Z,Manchester University NHS Foundation Trust,0.914324569356301,2017,2206,0.752,0,968,416,2021-11-29
2021-11-30T00:00:00Z,Manchester University NHS Foundation Trust,0.9135304659498208,2039,2232,0.7380952380952381,0,999,423,2021-11-30
2021-12-01T00:00:00Z,Manchester University NHS Foundation Trust,0.9187976671152983,2048,2229,0.746031746031746,0,1008,405,2021-12-01
2021-12-02T00:00:00Z,Manchester University NHS Foundation Trust,0.8868008948545861,1982,2235,0.688,0,987,410,2021-12-02
2021-12-03T00:00:00Z,Manchester University NHS Foundation Trust,0.8913237924865832,1993,2236,0.76,0,988,403,2021-12-03
2021-12-04T00:00:00Z,Manchester University NHS Foundation Trust,0.8728168383340797,1949,2233,0.76,0,943,397,2021-12-04
2021-12-05T00:00:00Z,Manchester University NHS Foundation Trust,0.8750559785042543,1954,2233,0.76,0,974,402,2021-12-05
2021-11-29T00:00:00Z,South Tyneside and Sunderland NHS Foundation Trust,0.8292011019283747,903,1089,0.8636363636363636,0,408,137,2021-11-29
2021-11-30T00:00:00Z,South Tyneside and Sunderland NHS Foundation Trust,0.8597616865261228,938,1091,0.8181818181818182,0,415,143,2021-11-30
2021-12-01T00:00:00Z,South Tyneside and Sunderland NHS Foundation Trust,0.8567493112947658,933,1089,0.8260869565217391,0,400,148,2021-12-01
2021-12-02T00:00:00Z,South Tyneside and Sunderland NHS Foundation Trust,0.8305709023941068,902,1086,0.9565217391304348,0,386,140,2021-12-02
2021-12-03T00:00:00Z,South Tyneside and Sunderland NHS Foundation Trust,0.852670349907919,926,1086,0.8181818181818182,0,392,143,2021-12-03
2021-12-04T00:00:00Z,South Tyneside and Sunderland NHS Foundation Trust,0.8296296296296296,896,1080,0.8181818181818182,0,387,144,2021-12-04
2021-12-05T00:00:00Z,South Tyneside and Sunderland NHS Foundation Trust,0.8539741219963032,924,1082,0.7272727272727273,0,396,144,2021-12-05
2021-11-29T00:00:00Z,University Hospitals Dorset NHS Foundation Trust,0.922930542340628,970,1051,1,0,512,248,2021-11-29
2021-11-30T00:00:00Z,University Hospitals Dorset NHS Foundation Trust,0.9454887218045113,1006,1064,0.9583333333333334,0,508,248,2021-11-30
2021-12-01T00:00:00Z,University Hospitals Dorset NHS Foundation Trust,0.9347408829174664,974,1042,1,0,505,245,2021-12-01
2021-12-02T00:00:00Z,University Hospitals Dorset NHS Foundation Trust,0.9596153846153846,998,1040,1,0,501,230,2021-12-02
2021-12-03T00:00:00Z,University Hospitals Dorset NHS Foundation Trust,0.952565343659245,984,1033,1,0,488,228,2021-12-03
2021-12-04T00:00:00Z,University Hospitals Dorset NHS Foundation Trust,0.93359375,956,1024,1,0,482,228,2021-12-04
2021-12-05T00:00:00Z,University Hospitals Dorset NHS Foundation Trust,0.9175557710960233,946,1031,1,0,491,226,2021-12-05
2021-11-29T00:00:00Z,Isle of Wight NHS Trust,0.9221311475409836,225,244,0.9166666666666666,0,116,37,2021-11-29
2021-11-30T00:00:00Z,Isle of Wight NHS Trust,0.9016393442622951,220,244,0.9166666666666666,0,115,40,2021-11-30
2021-12-01T00:00:00Z,Isle of Wight NHS Trust,0.9426229508196722,230,244,0.75,0,114,42,2021-12-01
2021-12-02T00:00:00Z,Isle of Wight NHS Trust,0.9344262295081968,228,244,0.8333333333333334,0,118,42,2021-12-02
2021-12-03T00:00:00Z,Isle of Wight NHS Trust,0.9344262295081968,228,244,0.9166666666666666,0,113,42,2021-12-03
2021-12-04T00:00:00Z,Isle of Wight NHS Trust,0.8483606557377049,207,244,0.8333333333333334,0,111,42,2021-12-04
2021-12-05T00:00:00Z,Isle of Wight NHS Trust,0.8729508196721312,213,244,0.8333333333333334,0,114,43,2021-12-05
2021-11-29T00:00:00Z,Barts Health NHS Trust,0.9045226130653267,1440,1592,0.9,0,593,221,2021-11-29
2021-11-30T00:00:00Z,Barts Health NHS Trust,0.9216791979949874,1471,1596,0.9646017699115044,0,590,212,2021-11-30
2021-12-01T00:00:00Z,Barts Health NHS Trust,0.8911138923654568,1424,1598,0.9508196721311475,0,580,220,2021-12-01
2021-12-02T00:00:00Z,Barts Health NHS Trust,0.926980198019802,1498,1616,0.96875,0,584,229,2021-12-02
2021-12-03T00:00:00Z,Barts Health NHS Trust,0.8903426791277259,1429,1605,0.96,0,572,224,2021-12-03
2021-12-04T00:00:00Z,Barts Health NHS Trust,0.8788257339163024,1407,1601,0.9586776859504132,0,558,225,2021-12-04
2021-12-05T00:00:00Z,Barts Health NHS Trust,0.8842302878598248,1413,1598,0.936,0,588,233,2021-12-05
2021-11-29T00:00:00Z,London North West University Healthcare NHS Trust,0.9606126914660832,878,914,0.8813559322033898,0,462,135,2021-11-29
2021-11-30T00:00:00Z,London North West University Healthcare NHS Trust,0.986870897155361,902,914,0.95,0,438,127,2021-11-30
2021-12-01T00:00:00Z,London North West University Healthcare NHS Trust,0.9880823401950163,912,923,0.9508196721311475,0,426,126,2021-12-01
2021-12-02T00:00:00Z,London North West University Healthcare NHS Trust,0.9902491874322861,914,923,0.95,0,437,132,2021-12-02
2021-12-03T00:00:00Z,London North West University Healthcare NHS Trust,0.9762675296655879,905,927,0.9830508474576272,0,442,135,2021-12-03
2021-12-04T00:00:00Z,London North West University Healthcare NHS Trust,0.9654427645788337,894,926,0.9661016949152542,0,437,129,2021-12-04
2021-12-05T00:00:00Z,London North West University Healthcare NHS Trust,0.9727965179542981,894,919,0.9666666666666667,0,466,137,2021-12-05
2021-11-29T00:00:00Z,Royal Surrey County Hospital NHS Foundation Trust,0.944206008583691,440,466,0.8333333333333334,0,175,55,2021-11-29
2021-11-30T00:00:00Z,Royal Surrey County Hospital NHS Foundation Trust,0.9369565217391305,431,460,0.75,0,182,57,2021-11-30
2021-12-01T00:00:00Z,Royal Surrey County Hospital NHS Foundation Trust,0.9397849462365592,437,465,0.8333333333333334,0,180,53,2021-12-01
