day_of_year,Name,Median occupancy rate,Max occupancy rate,Min occupancy rate,Median beds open,Max beds open,Min beds open,Median beds occupied,Max beds occupied,Min beds occupied,Median critical care beds occupancy rate,Max critical care beds occupancy rate,Min critical care beds occupancy rate,Median no. beds occupied by long-stay patients (> 7 days),Max no. beds occupied by long-stay patients (> 7 days),Min no. beds occupied by long-stay patients (> 7 days),Median no. beds occupied by long-stay patients (> 21 days),Max no. beds occupied by long-stay patients (> 21 days),Min no. beds occupied by long-stay patients (> 21 days)
2021-11-20,Aintree University Hospital NHS Foundation Trust,0,0,0,748,748,748,731,731,731,1,1,1,364,364,364,154,154,154
2021-11-20,Airedale NHS Foundation Trust,0,0,0,342,342,342,330,330,330,1,1,1,142,142,142,58,58,58
2021-11-20,Alder Hey Children's NHS Foundation Trust,0,0,0,160,160,160,145,145,145,NA,NA,NA,112,112,112,62,62,62
2021-11-20,Ashford And St Peter's Hospitals NHS Foundation Trust,0,0,0,432,432,432,427,427,427,0.46153846153846156,0.46153846153846156,0.46153846153846156,236,236,236,73,73,73
2021-11-20,"Barking, Havering And Redbridge University Hospitals NHS Trust",0,0,0,911,911,911,900,900,900,0.8846153846153846,0.8846153846153846,0.8846153846153846,396,396,396,128,128,128
2021-11-20,Barnsley Hospital NHS Foundation Trust,1,1,1,393,393,393,393,393,393,0.8181818181818182,0.8181818181818182,0.8181818181818182,116,116,116,38,38,38
2021-11-20,Barts Health NHS Trust,0,0,0,1476,1476,1476,1415,1415,1415,0.7833333333333333,0.7833333333333333,0.7833333333333333,926,926,926,472,472,472
2021-11-20,Basildon And Thurrock University Hospitals NHS Foundation Trust,0,0,0,697,697,697,695,695,695,0.9411764705882353,0.9411764705882353,0.9411764705882353,313,313,313,113,113,113
2021-11-20,Bedford Hospital NHS Trust,0,0,0,380,380,380,359,359,359,0.5454545454545454,0.5454545454545454,0.5454545454545454,210,210,210,65,65,65
2021-11-20,Birmingham Women's And Children's NHS Foundation Trust,0,0,0,275,275,275,235,235,235,0.75,0.75,0.75,127,127,127,77,77,77
2021-11-20,Blackpool Teaching Hospitals NHS Foundation Trust,0,0,0,800,800,800,776,776,776,0.8823529411764706,0.8823529411764706,0.8823529411764706,436,436,436,180,180,180
2021-11-20,Bolton NHS Foundation Trust,0,0,0,604,604,604,579,579,579,0.7222222222222222,0.7222222222222222,0.7222222222222222,278,278,278,91,91,91
2021-11-20,Bradford Teaching Hospitals NHS Foundation Trust,0,0,0,713,713,713,680,680,680,0.8125,0.8125,0.8125,32,32,32,15,15,15
2021-11-20,Brighton And Sussex University Hospitals NHS Trust,0,0,0,844,844,844,828,828,828,0.9361702127659575,0.9361702127659575,0.9361702127659575,412,412,412,153,153,153
2021-11-20,Buckinghamshire Healthcare NHS Trust,0,0,0,570,570,570,565,565,565,0.6666666666666666,0.6666666666666666,0.6666666666666666,284,284,284,130,130,130
2021-11-20,Burton Hospitals NHS Foundation Trust,0,0,0,334,334,334,320,320,320,0.8,0.8,0.8,190,190,190,83,83,83
